2019-04-14 21:49:42 | yaf.error | 8908 | 5cb33a765fe64 | 1555249782.464 | Argument 2 passed to Twig\Environment::render() must be of the type array, null given, called in D:\item\blogger\app\library\Twig\Adapter.php on line 92 | D:\item\blogger\vendor\twig\twig\src\Environment.php in line 317
2019-04-14 21:49:42 | yaf.error | 8908 | 5cb33a76d052f | 1555249782.914 | Argument 2 passed to Twig\Environment::render() must be of the type array, null given, called in D:\item\blogger\app\library\Twig\Adapter.php on line 92 | D:\item\blogger\vendor\twig\twig\src\Environment.php in line 317
2019-04-14 21:49:43 | yaf.error | 8908 | 5cb33a77398f6 | 1555249783.295 | Argument 2 passed to Twig\Environment::render() must be of the type array, null given, called in D:\item\blogger\app\library\Twig\Adapter.php on line 92 | D:\item\blogger\vendor\twig\twig\src\Environment.php in line 317
2019-04-14 21:49:43 | yaf.error | 8908 | 5cb33a7794560 | 1555249783.683 | Argument 2 passed to Twig\Environment::render() must be of the type array, null given, called in D:\item\blogger\app\library\Twig\Adapter.php on line 92 | D:\item\blogger\vendor\twig\twig\src\Environment.php in line 317
2019-04-14 21:49:44 | yaf.error | 8908 | 5cb33a77f2da8 | 1555249784.60 | Argument 2 passed to Twig\Environment::render() must be of the type array, null given, called in D:\item\blogger\app\library\Twig\Adapter.php on line 92 | D:\item\blogger\vendor\twig\twig\src\Environment.php in line 317
2019-04-14 21:56:03 | yaf.error | 8908 | 5cb33bf3ba1da | 1555250163.903 | Unable to find template "admin/index" (looked into: D:\item\blogger/resources/views). | D:\item\blogger\vendor\twig\twig\src\Loader\FilesystemLoader.php in line 239
2019-04-14 21:57:24 | yaf.error | 8908 | 5cb33c4427f1e | 1555250244.261 | Unable to find template "admin/index" (looked into: D:\item\blogger/resources/views). | D:\item\blogger\vendor\twig\twig\src\Loader\FilesystemLoader.php in line 239
2019-04-14 21:57:38 | yaf.error | 8908 | 5cb33c52583f2 | 1555250258.528 | Failed opening controller script D:\item\blogger/app\controllers\Base.js.php: No such file or directory | D:\item\blogger\public\index.php in line 12
2019-04-14 21:57:57 | yaf.error | 8908 | 5cb33c6552a00 | 1555250277.556 | Failed opening controller script D:\item\blogger/app\controllers\Base.js.php: No such file or directory | D:\item\blogger\public\index.php in line 12
2019-04-14 21:58:02 | yaf.error | 8908 | 5cb33c6abe862 | 1555250282.880 | Failed opening controller script D:\item\blogger/app\controllers\Base.js.php: No such file or directory | D:\item\blogger\public\index.php in line 12
2019-04-14 21:58:20 | yaf.error | 8908 | 5cb33c7c3f0ad | 1555250300.395 | Failed opening controller script D:\item\blogger/app\controllers\Base.js.php: No such file or directory | D:\item\blogger\public\index.php in line 12
2019-04-14 21:58:22 | yaf.error | 8908 | 5cb33c7e25a0a | 1555250302.242 | Failed opening controller script D:\item\blogger/app\controllers\Base.js.php: No such file or directory | D:\item\blogger\public\index.php in line 12
2019-04-14 21:59:53 | yaf.error | 8908 | 5cb33cd982510 | 1555250393.658 | Failed opening controller script D:\item\blogger/app\controllers\Base.js.php: No such file or directory | D:\item\blogger\public\index.php in line 12
